State,County,FIPS State,FIPS County,N of CDC Rows,Population2010,Lack Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,Take Blood Pressure Meds,Cancer Excl Skin Cancer,Asthma,Corornary Heart Disease,Routine Checkup,Cholesterol Screening,Colon Screening,COPD,Core Med Services Male,Core Med Services Female,Smoking CDC,Dental Visits,Diabetes CDC,High Cholesterol,Kidney Disease,No Leisure Physical Activities,Mammography CDC,Poor Mental Health,Obesity CDC,Pap Test,Poor Physical Health,Sleep Less Than 7 Hrs,Stroke,Teeth Lost,% Low Birth Rate,% Smokers,% Obese,Food Environment Index,% Excessive Drinking,Teen Birth Rate,Primary Care Physician Rate,Dentist Rate,% Receiving HbA1c,% Mammography,% Unemployed,% Children in Poverty,Association Rate,Air Polution,Diabetes Prevalence,% Food Insecure,% Limited Access,Drug Overdose Mortality Rate,Household Income,Population,% < 18,% 65 and over,% Female,% Rural
Alabama,Jefferson,1,1073,105,268987,17.62364427,28.11697963,14.08334566,41.15757267,79.38241737,5.760182462,10.05199917,7.052444542,76.11646622,76.03948444,65.76288185,8.14159346,35.7063754,28.51597624,20.82029912,56.3997907,15.12906274,38.32779725,3.541689747,32.96927249,82.97399651,14.38348396,39.21602791,85.03624302,15.12303978,39.78564131,4.488512084,20.02800842,11.10445829,18.40787557,33.2,6.1,16.13199242,34.09192019,106.00166,85.06173,85.53438812,66.30292449,5.857359733,22,14.41622613,12.9,12.9,127630,12.27159061,27.21286265,50109,659521,23.01928218,15.06275009,52.67595725,9.833765145
Alabama,Limestone,1,1083,2,1521,12.65147929,19.96982249,18.91913215,29.11577909,69.99921105,4.194477318,9.091913215,3.556607495,71.18086785,76.25364892,70.07830375,4.678303748,38.04930966,36.18126233,18.01913215,65.34852071,7.29704142,29.30769231,1.870216963,19.77830375,80.52682446,12.31360947,32.07021696,84.31617357,9.586390533,39.63530572,1.924260355,10.9566075,9.141234918,18.78264669,33.6,8.1,15.69438092,27.93296089,34.91049,28.03144,87.59744862,66.77966102,5.3012939,17.8,9.054907651,11.7,12.3,11470,3.518353856,5.81389011,52181,92753,23.03968605,14.54939463,49.89056958,57.60914208
Alabama,Madison,1,1089,56,178484,14.99939658,29.33963661,14.03149078,37.04997927,78.39407006,6.430757939,9.527676991,6.73674391,69.65311232,76.95063031,70.41735226,7.68715291,44.28574606,38.29418491,18.52206584,61.10655521,12.32509805,38.75081184,2.998114117,26.12697833,80.29562538,13.34854329,32.71823805,82.79229903,13.25416228,37.89100816,3.451734049,15.91558739,9.743907903,16.42110787,32.8,7.3,15.59193318,23.26968248,91.47835,55.18717,87.65677882,68.04892601,5.202689056,18.4,10.76215912,11.6,12.3,52210,7.467345123,11.78850479,61193,356967,22.07767105,14.3842428,51.18820507,16.44151477
Alabama,Mobile,1,1097,75,195045,17.14700966,32.24114948,14.59553693,42.26986183,78.60556333,6.274315671,9.964693276,7.727399831,74.72368223,75.76479274,64.09881617,8.641163321,30.81340357,30.16912815,20.39004691,58.16256556,15.32417545,39.88860776,3.445439258,29.85175319,81.67841883,14.78450717,39.38564536,85.43223102,15.90489118,39.38136276,4.513542516,20.43054116,11.79259713,18.91319867,35.8,6.3,16.46166331,42.00697722,67.64646,49.17606,83.23367065,62.07721216,6.870097033,30.4,11.0978707,10,14.7,79390,10.2659253,15.17640767,45233,414836,23.7004503,15.34003799,52.22280612,20.02024252
Alabama,Montgomery,1,1101,60,205733,17.97981607,29.41829361,14.99992029,40.40426913,78.21863435,5.808689904,10.40754327,6.839307257,76.53248531,75.74377664,64.19483554,8.244285069,32.40826508,30.75990337,21.15214817,60.23169594,13.83763956,37.38700889,3.30605931,30.00240311,82.41731565,14.55943189,36.62069187,85.42328309,14.60006465,38.12456825,4.183419772,18.67188929,12.08886062,19.60646437,36.8,5.3,15.89581581,40.10263403,89.17574,67.59473,84.12340105,63.07430516,5.851824999,28.6,15.27465687,11.2,13.2,51560,14.57214106,7.363152136,45111,226349,23.2243129,14.02833677,52.71903123,10.49123006
Alabama,Shelby,1,1117,13,24649,8.101963569,26.49511542,17.0540103,33.15540184,79.03762019,7.245308126,7.845291898,5.578664449,74.33226094,85.27101708,73.69254331,5.315302852,43.3480628,39.80243823,13.23301148,79.07431539,8.46902917,37.04708913,2.308965881,17.98663232,80.5763601,9.741202483,31.34356363,86.08787375,9.840240983,34.37537425,2.261243864,7.47854274,7.343963014,16.87485205,29.2,8.6,18.77449432,17.29852246,85.7637,50.80191,86.10837438,69.17293233,4.399002954,9.9,11.11574267,11.4,9.4,20350,4.302479799,20.12811706,74212,210622,23.97138001,13.99996202,51.48607458,22.94487019
Alabama,Tuscaloosa,1,1125,34,90437,16.53106582,24.94119553,16.94365912,33.62302929,70.46918186,4.77705364,9.864497938,5.37174276,72.12430753,66.62725212,60.50047768,6.980077844,35.0035616,31.20295454,20.83744153,59.47969415,10.76651149,34.36979223,2.701136703,27.37836947,82.42453089,16.01240974,32.37190862,84.49770006,13.39554939,39.31540409,3.220660791,19.38484691,11.12650046,20.08367679,33.4,6.9,18.83549073,24.10493292,72.55756,49.00486,85.42665388,71.21057986,5.769640628,21.9,11.619014,10.7,12.6,35840,6.494042565,13.22902546,47483,206102,20.94642459,12.35892907,51.83307294,25.50807579
Alaska,Anchorage,2,2020,55,291826,12.4982726,19.71187111,19.45927813,26.67874487,62.51172514,5.074812388,9.272900975,4.44882567,56.81940266,68.59067527,61.24423458,5.026883485,38.98908459,33.21326681,18.06178408,65.15192923,7.544363422,34.38906369,2.202003591,17.47988116,71.16345219,11.38315811,27.65170958,78.9095485,10.62315249,31.32192265,2.240701651,13.05935592,6.192759235,14.92845609,27.8,8.1,19.33168346,28.34349364,107.46748,119.05081,77.77337559,56.69393026,5.26929384,10.2,11.38284873, ,7.1,36900,5.113838821,18.82175795,83959,298192,24.80515909,9.883229597,48.99293073,4.117179415
Arizona,Maricopa,4,4013,831,3282510,15.54240849,22.69657186,17.12385163,27.00233961,69.09985459,5.581278168,10.00091287,5.358425595,65.12050455,73.02429342,60.60778828,5.808015573,33.86144341,30.80703788,17.284128,63.42652223,9.059773832,34.85075826,2.898534506,23.16611063,79.51935531,13.00205038,28.3355641, ,12.50672491,36.23511209,2.758644635,13.53051735,7.028963038,13.74925703,26.3,7.6,18.537748,31.17633367,70.85023,65.75541,83.85220181,65.60115409,4.513374298,21.5,5.15601566,10.3,9,604200,4.399472615,17.59462512,58742,4242997,24.51363977,14.61068674,50.55400699,2.363799695
Arizona,Pima,4,4019,140,520051,18.24901019,23.79954947,15.47621368,26.87996023,70.22363595,5.608087668,10.86241272,6.2330233,65.72831011,68.35043544,59.39333104,6.722851797,33.41754328,28.20471242,18.95828928,59.12071374,10.15617449,36.45559955,3.353417069,25.93453392,78.97950393,14.23166247,29.276515, ,14.60947869,34.39662552,3.206243234,14.39654957,7.055481687,13.89351317,24.9,7.4,16.97051248,29.93621618,81.97817,60.1256,83.33097094,68.52379016,4.889251401,26.8,6.267171605,7.2,8.6,145800,7.681117182,22.93164029,47644,1016206,21.40274708,19.06109588,50.84864683,7.523491145
