,FIPS,State,County,% Smokers,% Obese,Food Environment Index,% Excessive Drinking,# Primary Care Physicians,PCP Rate,PCP Ratio,# Dentists,Dentist Rate,Dentist Ratio,# Diabetics,% Receiving HbA1c,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,% Mammography (Black),% Mammography (White),# Unemployed,Labor Force,% Unemployed,% Children in Poverty,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),# Associations_x,Association Rate_x,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Household Income,Household income (Black),Household income (Hispanic),Household income (White),Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,% Female,# Rural,% Rural,Teen Birth Rate,% LBW,# Associations_y,Association Rate_y,fips_state,fips_county
0,1001,Alabama,Autauga,19.124658497,36.4,7.1,16.878015122,25.0,45.16957,2214:1,18,32.48159,3079:1,711.0,83.966244726,74.107142857,85.809682805,453.0,62.693156733,58.333333333,63.209876543,1352.0,25649.0,5.271160669,19.3,28.072153326,16.699410609,14.400243556,77.0,13.912226498,7680,13.9,6543.6768239,11.991125,17.0,10.231225701,54487.0,32173.0,72411.0,58556.0,55416,24.40811318,14.728598239,10556,19.048650209,269,0.4854193735,632,1.1404648477,56,0.1010538473,1490,2.6887541504,41562,75.0,432,0.8327389787,51.288436553,22921.0,42.002162321,27.99675827,8.5946311753,77.0,13.912226498,1,1001
1,1003,Alabama,Baldwin,16.795485149,29.3,7.9,16.71496869,148.0,72.65266,1376:1,103,49.38556,2025:1,2615.0,83.212237094,82.432432432,83.259019051,2186.0,65.965233303,65.753424658,65.972550876,4870.0,89931.0,5.4152628126,17.6,41.332246893,10.290897717,15.098891934,225.0,11.045167371,25350,13.0,9886.831137,5.424426597,113.0,18.452504397,56460.0,26818.0,41908.0,54184.0,208563,21.734439953,19.708193687,18860,9.0428311829,1608,0.7709900606,2242,1.0749749476,124,0.0594544574,9211,4.4164113481,173529,83.202197897,1540,0.8188092175,51.457832885,77060.0,42.279099114,31.965137793,8.4802904564,225.0,11.045167371,1,1003
2,1005,Alabama,Barbour,21.540877567,44.2,5.5,12.698715423,11.0,41.526669999999996,2408:1,9,34.66205,2885:1,525.0,89.142857143,89.655172414,88.737201365,330.0,63.03030303,53.389830508,68.396226415,718.0,8302.0,8.6485184293,39.6,65.980707395,64.810690423,10.589462702,21.0,7.9278190947,6290,23.4,2948.790251,10.739666573,,,32884.0,21546.0,25850.0,46673.0,25965,21.13614481,18.016560755,12337,47.513961101,164,0.6316194878,117,0.4506065858,45,0.1733102253,1094,4.213364144,12061,46.45099172,382,1.5193699785,46.932409012,18613.0,67.789634702,50.189205338,11.741293532,21.0,7.9278190947,1,1005
3,1007,Alabama,Bibb,19.916404243,38.4,7.6,15.925150788,12.0,53.137319999999995,1882:1,5,22.081879999999998,4529:1,333.0,81.981981982,73.469387755,83.450704225,199.0,61.306532663,45.161290323,64.285714286,569.0,8573.0,6.6371165286,27.5,47.923681257,,20.249307479,24.0,10.627463136,3650,16.1,596.16282881,2.6016270077,15.0,22.146105238,43079.0,28256.0,45909.0,42020.0,22643,20.752550457,15.430817471,4895,21.618160138,86,0.3798083293,45,0.1987369165,27,0.1192421499,566,2.4996687718,16850,74.415934284,96,0.4481374288,46.363114428,15663.0,68.352607462,47.260273973,11.258278146,24.0,10.627463136,1,1007
4,1009,Alabama,Blount,19.652158178,35.8,8.5,15.378721894,12.0,20.80696,4806:1,11,19.0628,5246:1,705.0,87.659574468,,,433.0,59.584295612,,,1354.0,24525.0,5.5208970438,19.4,15.068493151,57.107355865,20.936920223,51.0,8.8429594438,6510,11.3,1650.9594817,2.8801498232,37.0,21.375421731,47213.0,37647.0,34375.0,48045.0,57704,23.190766671,17.986621378,828,1.4349091917,362,0.6273395259,153,0.2651462637,65,0.1126438375,5233,9.0686954111,50472,87.46707334,1018,1.8785060526,50.613475669,51562.0,89.951502041,39.624777616,7.7916666667,51.0,8.8429594438,1,1009
5,1011,Alabama,Bullock,23.478291175,40.2,4.5,12.896317308,3.0,28.04787,3565:1,2,19.30129,5181:1,212.0,85.849056604,85.27607362,87.755102041,110.0,60.0,60.975609756,57.142857143,345.0,4811.0,7.1710663064,45.7,,,,10.0,9.349289454,2610,24.4,2154.7892998,19.743350741,,,34278.0,24411.0,,52036.0,10362,21.298977031,16.251688863,7178,69.272341247,94,0.9071607798,27,0.260567458,76,0.7334491411,807,7.7880718008,2231,21.53059255,95,0.9575647616,45.956379077,5607.0,51.374381528,65.835411471,14.727085479,10.0,9.349289454,1,1011
6,1013,Alabama,Butler,22.197655522,36.0,6.5,13.042811266,7.0,34.73256,2879:1,6,30.003,3333:1,539.0,80.705009276,79.292929293,81.524926686,271.0,62.361623616,57.647058824,64.516129032,651.0,9132.0,7.1287779238,36.6,53.531598513,,20.699568759,22.0,10.915947207,4480,22.0,612.93476079,2.9261219306,,,35409.0,23904.0,,44208.0,19998,23.572357236,19.02190219,8820,44.104410441,76,0.3800380038,215,1.0751075108,10,0.0500050005,262,1.3101310131,10442,52.215221522,166,0.870385906,53.385338534,14921.0,71.23215735,43.457723193,11.61587119,22.0,10.915947207,1,1013
7,1015,Alabama,Calhoun,20.462231748,36.1,6.8,15.431677015,75.0,64.86766999999999,1542:1,69,60.203649999999996,1661:1,2488.0,81.270096463,78.787878788,81.787275376,1559.0,56.895445799,59.793814433,56.483516484,3067.0,45794.0,6.6973839368,25.7,59.831267218,29.846582985,17.536470732,162.0,14.01141671,20280,17.4,10883.209969,9.178566583,54.0,15.600308539,41778.0,26523.0,31331.0,47514.0,114611,21.830365323,16.880578653,23764,20.734484474,596,0.5200198934,1054,0.919632496,113,0.0985943758,4100,3.5773180585,83235,72.62391917,776,0.7096219617,51.89117973,39955.0,33.696825557,39.711727776,8.7667161961,162.0,14.01141671,1,1015
8,1017,Alabama,Chambers,22.040369624,38.0,6.1,13.528450886,16.0,46.88919,2133:1,8,23.63857,4230:1,888.0,82.207207207,79.442508711,83.527454243,512.0,57.2265625,58.778625954,56.692913386,839.0,15134.0,5.5438086428,32.5,46.652267819,,18.246920653,62.0,18.169563051,6920,20.3,3533.9162159,10.328558281,,,39530.0,28558.0,16691.0,42945.0,33843,21.194929528,19.0733682,13317,39.349348462,100,0.295482079,367,1.08441923,21,0.0620512366,765,2.2604379044,18967,56.044085926,114,0.3565954518,52.004845906,16816.0,49.148034488,55.08415635,11.821428571,62.0,18.169563051,1,1017
9,1019,Alabama,Cherokee,19.14485261,35.5,8.2,15.232730666,10.0,38.67126,2586:1,4,15.54908,6431:1,554.0,88.628158845,73.913043478,89.265536723,303.0,63.366336634,,,582.0,11163.0,5.213652244,27.5,37.931034483,,21.099912358,26.0,10.05452647,3630,13.9,57.464901716,0.2211124003,12.0,15.459733835,41456.0,33934.0,,39764.0,25725,19.825072886,22.017492711,1104,4.2915451895,162,0.6297376093,66,0.2565597668,8,0.0310981535,413,1.6054421769,23588,91.692905734,15,0.0609013398,50.36345967,22282.0,85.736273039,45.303651631,8.698296837,26.0,10.05452647,1,1019
